Name,Address,Ethnicity,Dietary Restrictions,Establishment Type,Seating,Accessible,Accessible Subway,Rating,Price,Good For,Description,Recommendations,Image Count,First Image Alt,Phone,Website,Instagram,Facebook,Delivery,Payment Methods
The Lemon Ice King Of Corona,"52-02 108th St, Corona, NY 11368",7,2,7,Public Space,Y,,2,1,Italian Ices,Iconic hole-in-the-wall with something like 30 flavors of Italian Ices.,,4,Photo of a small Italian ice,(718) 699-5133,,TheLemonIceKingOfCorona,TheLemonIceKingOfCorona,,Cash
A+ Roof Bar,"39-16 College Point Boulevard, level R, Flushing, NY 11354","","",1,"Private Outdoor,Indoor",Y,Flushing - Main Street,2,3,"Cocktails,Happy Hour","Rooftop bar on top of the Parc Hotel. A+ stands out from the other rooftop bars in the area for its clever cocktails, pleasant ambiance and not-deafening music.",,4,Photo of four cocktails,(929) 204-7875,,aPlusRoof,APlusRoof,,"Cash,Credit Card"
Fuskahouse,"73-05 37th Ave, Jackson Heights, NY 11372",2,5;0,3,Sidewalk,Y,74th Street - Broadway,2,1,"Fuchka,Budget Friendly,Quick Bites","A relative newcomer to the block, their menu bears an uncanny resemblance to the adjacent Tong NYC. That said, the food quality is solid and may even edge out their competitor. ",,2,Round aluminum takeout container full of fuska - little orbs with a thin crispy outer layer - arranged around a container of tamarind water.,(646) 479-4912,,,DeshiShadfood,,Cash
Unidentified Flying Chickens,"71-22 Roosevelt Avenue, Jackson Heights, NY 11372",9,"",5;1,None,N,74th Street - Broadway,2,2,"Fried Chicken,Beer",Definitive neighborhood spot for Korean Fried Chicken and Beer,"Wings Combo, Poutine Fries, Delerium Nocturnum, Hitachino White, Nitro Milk Stout",2,Photo of wing and drumstick combo next to poutine ,(718) 205-6662,https://www.ufchicken.com/,UFChicken,UFCchicken,checked,"Cash,Credit Card"
Habiba B&B (Sunnyside),"46-9, 46-1 Queens Blvd, Sunnyside, NY 11104",5,0,3,"None,Public Space",Y,,2,2,Halal Food,One of the best carts or trucks for halal food in Queens. They also have a location in Astoria.,,1,A delicious but partially eater halal platter,(212) 470-3882,,,Habiba-BB-Halal-Food-Truck,,Cash
Tong NYC,"73-01 37th Ave, Jackson Heights, NY 11372",2,5;0,3,Sidewalk,Y,74th Street - Broadway,2,1,"Fuchka,Budget Friendly,Quick Bites",The original Bengali street food cart in Jackson Heights. Fuchka is the most popular item but definitely give their other items a shot.,,0,,(929) 257-6996,,,Bangladeshistreetfoods,,Cash
Pata Paplean,"76-21 Woodside Ave, Elmhurst, NY 11373",12,"",1,"Sidewalk,Public Space",Y,74th Street - Broadway,2,2,Cocktails,Conveniently located bar with plenty of physically-distanced seating and unique cocktails,Mango Sticky Rice [cocktail],0,,(718) 651-2076,,pataBarNYC,pataPapleanNYC,,Cash
Louie's Pizza,"8134 Baxter Ave # 1, Elmhurst, NY 11373",7,5,5,"None,Public Space",Y,,2,2,Pizza,TODO Neil,Grandma pizza or slice,0,,(718) 440-9346,,louiesPizza,LouiesPizzeriaNY,checked,"Cash Discount,Credit Card"
Habiba B&B (Steinway),"31-90 Steinway St, Astoria, NY 11103",5,0,3,"None,Public Space",Y,,2,2,Halal Food,One of the best carts or trucks for halal food in Queens. They also have a location in Sunnyside.,,0,,(212) 470-3882,,,Habiba-BB-Halal-Food-Truck,,Cash
Milkflower,"34-12 31st Ave, Astoria, NY 11106",7,5,5,"Sidewalk,Public Space",Y,,2,2,Pizza,"Great, quiet spot for novel personal pizzas",,0,,(718) 204-1300,https://www.milkflowernyc.com/,milkflowerNYC,milkflowerNYC,checked,"Cash,Credit Card"
Temple Canteen,"45-57 Bowne St, Flushing, NY 11355",6,4;3,5,Sidewalk,,,2,2,Budget Friendly,Cafeteria in the basement of a Hindu Temple. ,,0,,(718) 460-8493,https://canteen.nyganeshtemple.org/,,,,Cash
Main Bakhtar Halal Kabab,"6729 Main St, Kew Gardens Hills, NY 11367",0,0,5,,Y,,2,2,Large Platters,"Typical middle eastern kebab, just pretty good and relatively cheap. Also a great option for large groups.",,0,,(718) 793-4535,,,,,Cash
Beijing Dumpling,"116-14A Queens Blvd, Forest Hills, NY 11375",3,5,5,,Y,Kew Gardens - Union Turnpike,1,1,Wontons,,Spicy Wontons with Mushroom & Spinach ,1,Plastic take-out container of spicy vegetarian wontons,(718) 268-5808,https://www.beijingdumplingfh.com/,,,,"Cash,Credit Card"
Frangos Peri Peri Queens,"23316 Hillside Avenue, Queens Village, NY 11427","","",5,,,,1,2,Fried Chicken,TODO Dhru,,1,Plate of chicken over rice and salad,(718) 776-3776,,,,,"Cash,Credit Card"
Thai Thai Grocery,"76-13 Woodside Ave, Elmhurst, NY 11373",12,"",4,"None,Public Space",N,74th Street - Broadway,1,1,"Imported Snacks,Drinks",Cozy Thai grocery that stocks a variety of imports.,TODO Dhru,0,,(917) 769-6168,,,,,Cash
Xi'an Famous Foods (Flushing),"41-10 Main St, Flushing, NY 11355",3,3;5,5,,Y,Flushing - Main Street,1,1,Budget Friendly,Flushing location of a small chain. It's offering is very distinct and is a great spot for non-carnivores.,,0,,(212) 786-2068,,xianFoods,xianFoods,,Credit Card
3 Aunties Thai Market,"64-04 39th Ave, Woodside, NY 11377",12,"",4,None,Y,61st Street - Woodside,1,1,"Imported Snacks,Drinks,Quick Bites",TODO Dhru,,0,,(718) 606-2523,https://3auntiesthaimarket.com/,3AuntiesThaiMarket,3AuntiesThaiMarket,,"Cash,Credit Card,Apple Pay,JCB,Amazon Pay"
39 Kings Cafe,"39-07 Prince St, Flushing, NY 11354",3,5,5,Public Space,Y,Flushing - Main Street,1,1,"Late Night,Budget Friendly","The cuisine is nothing to write home about, but it's cost effective and is open well into the night.",,0,,(718) 939-3330,,,,,
NY Go Go Fast Food Inc,"135-50 Roosevelt Ave, Flushing, NY 11354",3,5,5,,Y,Flushing - Main Street,1,1,Budget Friendly,"Rock bottom prices for good food, right next to the 7 train and the LIRR. You might hate yourself afterwards, but you wallet certainly won't.","Scallion pancakes, egg fried rice",0,,,,,,,Cash
New Flushing Bakery,"135-45 Roosevelt Ave, Flushing, NY 11354",3,5,0,None,Y,Flushing - Main Street,1,1,"Egg Custard Tarts,Quick Bites",No-frills bakery right outside the subway station. The Portuguese egg custard tarts are to die for though.,"Portuguese Egg Custard Tarts, Pineapple buns",0,,(718) 539-6363,,,,,Cash
Terraza 7,"40-19 Gleane St, Elmhurst, NY 11373",10,"",1,Sidewalk,Y,,1,2,Live Music,One of the nice places to drink in the immediate area by virtue of not being directly underneath the train - or even on a busy street. The live music is nice plus.,,0,,(347) 808-0518,https://terraza7.com/,terraza_7,terraza7,,
Lamoon,"8140 Broadway, Elmhurst, NY 11373",12,"",5,"None,Public Space",Y,,1,2,"Fried Chicken,Lunchboxes","This restaurant is unique it that it unapologetically serves primarily northern Thai dishes. You won't find pad thai here, but if you come with an open mind, you won't be disappointed. They've also pivoted toward serving to-go lunchboxes because their location is not conducive to sidewalk seating.",,0,,(917) 745-1168,https://www.lamoonthainy.com/,lamoonThaiNY,lamoonThaiNY,checked,"Cash,Credit Card"
Dek Sen,"86-08 Whitney Ave, Elmhurst, NY 11373",12,"",5,Sidewalk,,,1,2,,TODO Dhru,,0,,(718) 205-5181,,dekSenNYC,dekSenNYC,checked,"Cash,Credit Card"
Taste Good,"8218 45th Ave, Elmhurst, NY 11373",11,3;5,5,Public Space,Y,,1,2,,TODO Dhru,,0,,(718) 898-8001,,,,checked,Cash
Malay Restaurant Inc.,"135-17 40th Rd, Flushing, NY 11354",11,"",5,"None,Public Space",N,Flushing - Main Street,1,2,Budget Friendly,TODO Maksim,Curry Chicken over Rice,0,,(718) 353-2901,,,,checked,"Cash,Credit Card"
Thai Son,"40-10 74th Street, Elmhurst, NY 11373",13,"",5,Indoor,,74th Street - Broadway,1,2,Pho,"Contrary to what the name suggests, this is the place to go to if you want pho - or Vietnamese food more generally - in Jackson Heights.",,0,,(718) 476-6805,,,,checked,"Cash,Credit Card"
Jahn's,"8104 37th Ave #1, Jackson Heights, NY 11372",1,"",5,Sidewalk,Y,,1,2,"Breakfast,Ice Cream","Classic American diners are a dying breed in New York City, so this list would be incomplete without Jahn's. It's a wonderful, low-key spot for a meal and/or ice cream if you're not feeling adventurous.",,0,,(718) 651-0700,,,,,"Cash,Credit Card"
88 Canteen,"58-46 Main St, Flushing, NY 11355",3,"",5,,,,1,2,Breakfast,"An authentic Hong Kong style diner. It's a quirky genre but it grows on you, and it makes for an interesting breakfast experience.",,0,,(718) 886-1555,,,,checked,
